name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
bristol,2021-11-09,13.2,9.8,11.5,13.2,8.3,11.4,9.7,89,0,0,0,,0,0,28.8,18.1,210.1,1022.4,89.4,12.5,39.5,3.4,3,,2021-11-09T07:18:05,2021-11-09T16:29:40,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03853099999,03743099999,03716099999,03644099999,D9855,03740099999,EGGD"
bristol,2021-11-10,13.1,11,11.8,13.1,11,11.8,11.2,96.1,0.75,100,16.67,rain,0,0,20.2,13.5,208.8,1022.2,97.6,10.3,28.7,2.5,2,,2021-11-10T07:19:50,2021-11-10T16:28:07,0.19,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"03853099999,03743099999,03716099999,03644099999,D9855,03740099999,EGGD"
bristol,2021-11-11,12.1,8.9,10.9,12.1,6.7,10.4,9.3,90.4,0.33,100,8.33,rain,0,0,24.5,15.5,189,1021.4,80.1,9.3,48.9,4.3,3,,2021-11-11T07:21:35,2021-11-11T16:26:36,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"03853099999,03743099999,03716099999,03644099999,03724399999,D9855,03740099999,EGGD"
bristol,2021-11-12,12.2,8.9,11.2,12.2,6.8,10.9,9.6,90.3,2.99,100,33.33,rain,0,0,49.4,35,232.1,1010.7,83.2,10,33.8,3,2,,2021-11-12T07:23:19,2021-11-12T16:25:08,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03853099999,03743099999,03716099999,03644099999,03724399999,D9855,03740099999,EGGD"
bristol,2021-11-13,12.1,10,10.6,12.1,9.6,10.6,8.5,86.7,0.22,100,4.17,rain,0,0,32.3,26.5,279,1017.3,87.3,11.5,47.6,4.1,3,,2021-11-13T07:25:03,2021-11-13T16:23:41,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03853099999,03743099999,03716099999,03724399999,D1143,03644099999,D9855,03740099999,EGGD"
bristol,2021-11-14,11,7.2,9.3,11,5.5,8.3,7.7,89.9,0,0,0,,0,0,22.3,17.2,10.6,1024.7,87.6,11.6,40,3.3,3,,2021-11-14T07:26:47,2021-11-14T16:22:17,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03853099999,03743099999,03716099999,03644099999,D9855,03740099999,EGGD"
bristol,2021-11-15,10.7,6.5,8.6,10.7,5.2,8.2,8.2,97.4,0,0,0,,0,0,10.4,11.4,35.6,1026.6,90.4,4,26.5,2.2,1,,2021-11-15T07:28:30,2021-11-15T16:20:55,0.43,Overcast,Cloudy skies throughout the day.,cloudy,"03853099999,03743099999,03716099999,03644099999,D9855,03740099999,EGGD"
bristol,2021-11-16,11.9,8.2,9.6,11.9,5.9,9.1,8.8,95.1,0.13,100,4.17,rain,0,0,,20.2,232.1,1022.2,85,9.1,34.5,3,2,,2021-11-16T07:30:12,2021-11-16T16:19:35,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03853099999,03743099999,03716099999,03644099999,D9855,03740099999,EGGD"
bristol,2021-11-17,10.2,7,8.6,10.2,4,6.7,6.3,85.9,0.08,100,8.33,rain,0,0,0,19.1,270.5,1024.7,52.1,10.7,39.3,3.4,2,,2021-11-17T07:31:54,2021-11-17T16:18:18,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03853099999,03743099999,03716099999,03644099999,03724399999,D9855,03740099999,EGGD"
bristol,2021-11-18,11.3,7.9,10.1,11.3,5.6,9.3,9.2,94.3,0.16,100,4.17,rain,0,0,37.1,29.6,252.1,1029.2,92.8,10.9,22.1,1.9,1,,2021-11-18T07:33:35,2021-11-18T16:17:03,0.5,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"03853099999,03743099999,03716099999,03644099999,D9855,03740099999,EGGD"
